ID,msnv,phan_xuong,may_gia_cong,id_ma_hang,trang_thai_hang,ma_ban_ve,so_luong_GC,thu_tu_sp,thu_tu_gc,diem_gc,gio_pg,thoi_diem_bat_dau,thoi_diem_hoan_thanh,trang_thai
12bc1e9f,172,SETO,SETO - VB53 - III,A15421,,1414-D1,1,1,MC2,45,45,7/6/2026 21:04,,
b8804038,191,SETO,SETO - VB53 - III,A15421,,1414-D1,1,1,MC1,25,25,7/2/2026 10:29,7/4/2026 10:32,
