"ID","msnv","phan_xuong","may_gia_cong","id_ma_hang","trang_thai_hang","ma_ban_ve","so_luong_GC","thu_tu_sp","thu_tu_gc","diem_gc","gio_pg","thoi_diem_bat_dau","thoi_diem_hoan_thanh","trang_thai"
"12bc1e9f","172","SETO","SETO - VB53 - III","A15421","","1414-D1","1","1","MC2","45.00","45.00","2026/07/06 21:04:23","",""
"b8804038","191","SETO","SETO - VB53 - III","A15421","","1414-D1","1","1","MC1","25.00","25.00","2026/07/02 10:29:41","2026/07/04 10:32:04",""
